Energy(cm-1),Energy(nm),Abs
32944.155844155845,303.5439744550006,95.1189221018
32961.03896103896,303.3884948778566,99.8732446091
32977.92207792208,303.2331744969086,104.838690296
32994.805194805194,303.0780130677793,110.023184458
33011.68831168831,302.9230103465911,115.434875463
33028.57142857143,302.7681660899654,121.082137376
33045.454545454544,302.61348005502066,126.973572434
33062.33766233766,302.45895199937155,133.118013338
33079.22077922078,302.30458168112756,139.524525369
33096.103896103894,302.15036885889185,146.202408312
33112.98701298701,301.99631329175986,153.161198165
33129.870129870134,301.84241473931786,160.410668641
33146.75324675325,301.6886729616424,167.960832429
33163.63636363637,301.5350877192982,175.821942217
33180.519480519484,301.38165877333745,184.004491452
33197.4025974026,301.22838588529845,192.519214844
33214.28571428572,301.0752688172043,201.377088571
33231.168831168834,300.9223073315616,210.589330198
33248.05194805195,300.76950119135967,220.16739829
33264.93506493507,300.6168501600687,230.122991694
33281.818181818184,300.46435400163887,240.468048497
33298.7012987013,300.3120124804992,251.214744625
33315.58441558442,300.15982536155616,262.375492091
33332.46753246753,300.00779241019245,273.962936867
33349.35064935065,299.855913392266,285.98995636
33366.23376623377,299.7041880741087,298.469656506
33383.11688311688,299.5526162225248,311.415368434
33400.0,299.4011976047904,324.840644723
33416.88311688312,299.24993198865184,338.759255208
33433.76623376623,299.09881914232443,353.185182348
33450.64935064935,298.9478588344916,368.132616136
33467.53246753247,298.7970508343035,383.61594853
33484.41558441558,298.64639491137575,399.649767413
33501.2987012987,298.4958908357885,416.248850057
33518.181818181816,298.34553837808517,433.428156091
33535.06493506493,298.19533730927117,451.202819956
33551.94805194806,298.0452874008128,469.588142845
33568.83116883117,297.8953884246363,488.599584118
33585.71428571429,297.7456401531263,508.252752181
33602.59740259741,297.59604235912497,528.563394831
33619.48051948052,297.4465948159307,549.547389052
33636.36363636364,297.2972972972973,571.220730265
33653.246753246756,297.14814957743215,593.599521023
33670.12987012987,296.9991514309959,616.699959148
33687.01298701299,296.85030263310074,640.538325307
33703.896103896106,296.70160295930947,665.130970039
33720.77922077922,296.5530521856345,690.494300204
33737.66233766234,296.4046500885364,716.644764887
33754.545454545456,296.2563964449232,743.598840738
33771.42857142857,296.1082910321489,771.373016757
33788.31168831169,295.96033362801245,799.983778528
33805.194805194806,295.8125240107568,829.44759191
33822.07792207792,295.6648619590677,859.78088619
33838.96103896104,295.51734725207245,891.000036699
33855.844155844155,295.36997966933905,923.121346914
33872.72727272727,295.2227589908749,956.161030046
33889.61038961039,295.0756849971259,990.135190125
33906.493506493505,294.92875746897505,1025.05980261
33923.37662337662,294.7819761877417,1060.95069451
33940.25974025974,294.63534093518024,1097.82352406
33957.142857142855,294.4888514934792,1135.69375998
33974.02597402598,294.3425076452599,1174.57666028
33990.909090909096,294.1963091735758,1214.48725065
34007.79220779221,294.0502558619109,1255.44030259
34024.67532467533,293.90434749417915,1297.450311
34041.558441558445,293.758583854723,1340.53147163
34058.44155844156,293.61296472831265,1384.69765808
34075.32467532468,293.4674899001448,1429.96239865
34092.207792207795,293.32215915584163,1476.33885282
34109.09090909091,293.1769722814499,1523.83978763
34125.97402597403,293.03192906343946,1572.47755383
34142.857142857145,292.88702928870293,1622.26406184
34159.74025974026,292.7422727445538,1673.21075769
34176.62337662338,292.5976592187262,1725.3285988
34193.506493506495,292.4531884993733,1778.62802977
34210.38961038961,292.30886037506644,1833.11895815
34227.27272727273,292.16467463479415,1888.81073026
34244.155844155845,292.0206310679612,1945.7121071
34261.03896103896,291.87672946438727,2003.83124033
34277.92207792208,291.7329696143063,2063.1756485
34294.805194805194,291.5893513083652,2123.75219344
34311.68831168831,291.445874337623,2185.56705694
34328.57142857143,291.3025384935497,2248.62571766
34345.454545454544,291.1593435680254,2312.93292854
34362.33766233766,291.0162893533391,2378.49269441
34379.22077922078,290.87337564218797,2445.30825025
34396.103896103894,290.73060222767606,2513.38203981
34412.98701298701,290.5879689033135,2582.71569484
34429.870129870134,290.4454754630153,2653.31001487
34446.75324675325,290.30312170110085,2725.16494772
34463.63636363637,290.16090741229226,2798.27957062
34480.519480519484,290.0188323917137,2872.65207214
34497.4025974026,289.8768964348906,2948.27973488
34514.28571428572,289.7350993377483,3025.15891906
34531.168831168834,289.59344089661136,3103.28504693
34548.05194805195,289.4519209082024,3182.65258824
34564.93506493507,289.3105391696412,3263.25504661
34581.818181818184,289.1692954784437,3345.08494698
34598.7012987013,289.0281896325213,3428.13382421
34615.58441558442,288.8872214301793,3512.39221273
34632.46753246753,288.7463906701166,3597.84963748
34649.35064935065,288.6056971514243,3684.49460596
34666.23376623377,288.4651406735848,3772.31460168
34683.11688311688,288.3247210364712,3861.29607888
34700.0,288.1844380403458,3951.42445857
34716.88311688312,288.0442914858597,4042.68412604
34733.76623376623,287.9042811740512,4135.05842974
34750.64935064935,287.76440690634576,4228.52968171
34767.53246753247,287.6246684845542,4323.07915942
34784.41558441558,287.48506571087216,4418.6871092
34801.2987012987,287.34559838787925,4515.33275125
34818.181818181816,287.20626631853787,4612.9942862
34835.06493506493,287.0670693061925,4711.64890328
34851.94805194806,286.92800715456843,4811.27279017
34868.83116883117,286.7890796677716,4911.84114446
34885.71428571429,286.6502866502866,5013.32818676
34902.59740259741,286.5116279069767,5115.70717557
34919.48051948052,286.37310324308237,5218.95042375
34936.36363636364,286.23471246422065,5323.02931675
34953.246753246756,286.09645537638403,5427.91433245
34970.12987012987,285.9583317859397,5533.57506281
34987.01298701299,285.8203414996288,5639.98023711
35003.896103896106,285.68248432456494,5747.09774695
35020.77922077922,285.54476006823404,5854.89467284
35037.66233766234,285.4071685384929,5963.33731253
35054.545454545456,285.26970954356847,6072.39121093
35071.42857142857,285.132382892057,6182.02119162
35088.31168831169,284.99518839292324,6292.19139002
35105.194805194806,284.8581258554992,6402.86528807
35122.07792207792,284.7211950894838,6514.00575041
35138.96103896104,284.5843959049414,6625.57506213
35155.844155844155,284.44772811230143,6737.53496786
35172.72727272727,284.3111915223572,6849.84671234
35189.61038961039,284.17478594626516,6962.47108228
35206.493506493505,284.03851119554395,7075.3684496
35223.37662337662,283.9023670820736,7188.49881577
35240.25974025974,283.76635341809475,7301.82185748
35257.142857142855,283.6304700162075,7415.29697331
35274.02597402598,283.49471668937076,7528.88333154
35290.909090909096,283.35909325090154,7642.53991882
35307.79220779221,283.2235995144738,7756.22558987
35324.67532467533,283.0882352941176,7869.89911789
35341.558441558445,282.9530004042185,7983.51924578
35358.44155844156,282.8178946595166,8097.04473802
35375.32467532468,282.68291787510555,8210.43443306
35392.207792207795,282.5480698664318,8323.64729625
35409.09090909091,282.41335044929394,8436.64247314
35425.97402597403,282.2787594398416,8549.37934306
35442.857142857145,282.14429665457476,8661.81757292
35459.74025974026,282.0099619103428,8773.91717108
35476.62337662338,281.8757550243438,8885.63854123
35493.506493506495,281.74167581412365,8996.94253621
35510.38961038961,281.6077240975752,9107.7905115
35527.27272727273,281.47389969293755,9218.14437852
35544.155844155845,281.340202418795,9327.96665743
35561.03896103896,281.2066320940764,9437.22052942
35577.92207792208,281.0731885380544,9545.86988837
35594.805194805194,280.93987157034445,9653.87939175
35611.68831168831,280.8066810109041,9761.21451064
35628.57142857143,280.67361668003207,9867.84157886
35645.454545454544,280.5406783983678,9973.72784092
35662.33766233766,280.40786598689004,10078.8414988
35679.22077922078,280.2751792669166,10183.1517578
35696.103896103894,280.14261806010336,10286.6288699
35712.98701298701,280.01018218844325,10389.2441775
35729.870129870134,279.87787147426576,10490.9701534
35746.75324675325,279.7456857402361,10591.7804408
35763.63636363637,279.6136248093543,10691.6498905
35780.519480519484,279.48168850495443,10790.5545967
35797.4025974026,279.3498766507038,10888.4719305
35814.28571428572,279.2181890706023,10985.3805714
35831.168831168834,279.0866255889815,11081.2605368
35848.05194805195,278.9551860305039,11176.0932091
35864.93506493507,278.82387022016223,11269.8613602
35881.818181818184,278.69267798327843,11362.5491744
35898.7012987013,278.5616091455032,11454.1422676
35915.58441558442,278.430663532815,11544.627705
35932.46753246753,278.2998409715194,11633.994016
35949.35064935065,278.1691412882482,11722.2312054
35966.23376623377,278.0385643099588,11809.3307637
35983.11688311688,277.9081098639333,11895.2856726
36000.0,277.77777777777777,11980.0904096
36016.88311688312,277.6475678794216,12063.7409479
36033.76623376623,277.5174799971167,12146.234755
36050.64935064935,277.3875139594366,12227.5707872
36067.53246753247,277.25766959527584,12307.749482
36084.41558441558,277.1279467338492,12386.7727469
36101.2987012987,276.998345204691,12464.6439456
36118.181818181816,276.8688648376542,12541.3678811
36135.06493506493,276.73950546290973,12616.9507759
36151.94805194806,276.6102669109458,12691.4002495
36168.83116883117,276.4811490125673,12764.725292
36185.71428571429,276.3521515988946,12836.9362361
36202.59740259741,276.22327450136316,12908.0447255
36219.48051948052,276.0945175517229,12978.0636801
36236.36363636364,275.96588058203713,13047.0072596
36253.246753246756,275.83736342468205,13114.8908227
36270.12987012987,275.708965912346,13181.7308855
36287.01298701299,275.5806878780287,13247.5450754
36303.896103896106,275.4525291550404,13312.3520839
36320.77922077922,275.32448957700143,13376.1716161
36337.66233766234,275.1965689778413,13439.024338
36354.545454545456,275.0687671917979,13500.9318218
36371.42857142857,274.9410840534171,13561.9164883
36388.31168831169,274.81351939755166,13622.001548
36405.194805194806,274.68607305936075,13681.2109396
36422.07792207792,274.5587448743091,13739.5692666
36438.96103896104,274.43153467816666,13797.1017327
36455.844155844155,274.3044423070072,13853.8340748
36472.72727272727,274.17746759720836,13909.792495
36489.61038961039,274.0506103854504,13965.0035908
36506.493506493505,273.92387050871577,14019.4942844
36523.37662337662,273.7972478042883,14073.2917506
36540.25974025974,273.67074210975267,14126.4233436
36557.142857142855,273.54435326299335,14178.9165238
36574.02597402598,273.41808110219444,14230.7987823
36590.909090909096,273.29192546583846,14282.0975666
36607.79220779221,273.16588619270607,14332.8402047
36624.67532467533,273.0399631218751,14383.0538297
36641.558441558445,272.9141560927199,14432.7653036
36658.44155844156,272.78846494491086,14482.001142
36675.32467532468,272.6628895184136,14530.7874382
36692.207792207795,272.5374296534881,14579.1497888
36709.09090909091,272.41208519068846,14627.1132185
36725.97402597403,272.2868559708618,14674.7021069
36742.857142857145,272.1617418351477,14721.9401152
36759.74025974026,272.03674262497793,14768.8501149
36776.62337662338,271.911858182075,14815.4541166
36793.506493506495,271.78708834845224,14861.7732014
36810.38961038961,271.6624329664126,14907.8274527
36827.27272727273,271.5378918785485,14953.6358906
36844.155844155845,271.41346492774056,14999.2164073
36861.03896103896,271.28915195715746,15044.5857053
36877.92207792208,271.164952810255,15089.7592371
36894.805194805194,271.0408673307755,15134.7511475
36911.68831168831,270.9168953627472,15179.5742181
36928.57142857143,270.79303675048357,15224.2398146
36945.454545454544,270.6692913385827,15268.7578365
36962.33766233767,270.54565897192646,15313.1366697
36979.22077922078,270.42213949568026,15357.3831423
36996.1038961039,270.29873275529184,15401.5024825
37012.98701298701,270.17543859649123,15445.4982811
37029.870129870134,270.0522568652895,15489.3724557
37046.753246753244,269.9291874079787,15533.1252194
37063.63636363637,269.8062300711307,15576.755052
37080.519480519484,269.68338470159705,15620.2586755
